lats,lons,pnames,flag,RMSE(ordinary),bias(ordinary),corr(ordinary)
-34.6,-59.2,R_LUJAN_LUJAN_KM0109,20,9.714829,9.70999,0.15677725505919798
-30.31,27.47,R_ORANGE_SENQU_KM1912,10,2.5923815,-2.166504,0.7241590622257577
-34.6,-59.21,R_LUJAN_LUJAN_KM0110,10,2.780836,2.7367916,0.21760722328782556
-33.3,-58.19,R_NEGRO3_NEGRO_KM0022,10,0.7832753,0.46481085,0.6058841494004479
-36.8,-66.88,R_COLORADO-01_DESAGUADERO_KM0846,20,1.666103,-1.5639038,-0.20925867119758293
-32.96,-56.87,R_NEGRO3_NEGRO_KM0261,10,3.3841147,-3.2850685,0.808460552670231
-32.96,-56.89,R_NEGRO3_NEGRO_KM0263,10,3.3636358,-3.2673607,0.8042411415392069
-30.35,27.48,R_ORANGE_SENQU_KM1917,20,4.7107253,-4.536133,0.8050666363544945
-32.91,-56.85,R_NEGRO3_NEGRO_KM0272,10,3.534118,-3.4233513,0.8029550436739219
-30.4,27.55,R_ORANGE_SENQU_KM1928,10,19.916035,19.911743,0.42790251421180847
-32.88,-56.83,R_NEGRO3_NEGRO_KM0282,10,1.6923295,-1.3798828,0.8054473289556744
-30.07,28.1,R_ORANGE_SENQU_KM2059,10,9.437604,9.371948,0.567788637896374
-32.0,115.83,R_AVON-01_AVON_KM0016,10,0.50497156,0.2950474,-0.2124037909707854
-32.22,117.27,R_AVON-01_AVON_KM0295,20,3.9085433,-3.90419,0.6349526894143251
-32.46,-55.16,R_NEGRO3_NEGRO_KM0577,20,1.8481716,1.2715225,0.599528971809645
-33.19,-56.93,R_NEGRO3_YI_KM0218,10,2.8259182,-2.683052,0.6929087946665679
-36.0,-66.64,R_COLORADO-01_DESAGUADERO_KM0991,20,3.0334432,-2.9769897,-0.12263061223289799
-32.2,117.29,R_AVON-01_AVON_KM0298,20,4.5273294,-4.5239105,0.2315998602811563
-31.05,115.56,R_MOORE_MOORE_KM0055,20,14.149453,-14.143242,0.3039971214951698
