lats,lons,pnames,flag,RMSE(AltiMaP),bias(AltiMaP),corr(AltiMaP)
-32.22,117.27,R_AVON-01_AVON_KM0295,20,3.9085433,-3.90419,0.6349526894143251
-32.46,-55.16,R_NEGRO3_NEGRO_KM0577,20,1.8481716,1.2715225,0.599528971809645
-33.19,-56.93,R_NEGRO3_YI_KM0218,10,1.4651369,1.0164413,0.5394412825047684
-36.0,-66.64,R_COLORADO-01_DESAGUADERO_KM0991,20,6.847914,6.815094,-0.15126707594266836
-32.2,117.29,R_AVON-01_AVON_KM0298,20,4.5273294,-4.5239105,0.2315998602811563
-31.05,115.56,R_MOORE_MOORE_KM0055,20,0.58894247,0.43817902,0.26342959198070964
-33.28,-56.79,R_NEGRO3_YI_KM0244,20,3.5655787,3.3606682,0.8852253668656953
-34.09,-60.0,R_PARANA_ARRECIFES_KM0231,10,3.9347265,3.9021893,0.7323780254061761
-31.07,-59.75,R_PARANA_ARROYO-FELICIANO_KM0625,20,1.1459846,-0.54652214,0.756526227406765
-30.13,-59.07,R_PARANA_ARROYO-SALINAS-TRIB-01_KM0785,10,0.54178524,0.44561005,0.4963821377839901
-32.97,-59.2,R_PARANA_GUALEGUAY_KM0253,20,1.9206928,1.3426666,0.6574155417111076
-35.94,-66.62,R_COLORADO-01_DESAGUADERO_KM0999,20,4.4684777,4.423645,0.21199684195346802
-31.62,-59.13,R_PARANA_GUALEGUAY_KM0515,20,1.745116,-1.063488,0.5964169206718707
-37.99,140.99,R_GLENELG_GLENELG_KM0014,10,2.8912158,2.806911,0.40847159410201045
-32.0,136.04,R_GAIRDNER_GAIRDNER_KM0052,20,0.5142792,0.49111176,-0.07495192455833968
-38.04,141.25,R_GLENELG_GLENELG_KM0054,10,2.8800235,2.7657743,-0.09436070518234474
-35.19,139.32,R_MURRAY_MURRAY_KM0037,10,0.9721094,0.8469337,0.12501787688115906
-30.05,147.08,R_MURRAY_BARWON_KM2426,20,9.064933,9.046974,0.61692945938584
-35.05,139.36,R_MURRAY_MURRAY_KM0060,10,1.3652208,1.1707418,0.08976004944922762
-30.1,147.56,R_MURRAY_BARWON_KM2525,10,11.341658,11.331238,-0.08106186983079725
-35.03,139.37,R_MURRAY_MURRAY_KM0063,10,1.2225804,1.0988892,0.65674700684187
