time,chainage [m],lat,lon,observed height [m],outlier
20120707 07:33:42,323277.98,29.210188,85.040145,4485.78,0
20120930 15:27:35,325056.52,29.223472,85.039401,4485.17,0
20120707 07:33:42,326726.03,29.231781,85.049688,4483,0
20120707 07:33:42,326946.23,29.237093,85.049227,4483.37,0
20120930 15:27:35,327224.91,29.239188,85.051229,4485.54,0
20100925 03:58:08,327582.83,29.241968,85.053323,4484.63,0
20110705 01:48:48,332372.06,29.262047,85.094516,5355.22,1
20120707 07:33:42,334120.73,29.270879,85.109234,4477,0
20120707 07:33:42,336426.42,29.282108,85.128164,4476.3,0
20120707 07:33:42,336921.33,29.284891,85.132091,4474.35,0
20120707 07:33:42,337376.58,29.287658,85.13551,4474.1,0
20120707 07:33:42,337848.41,29.290431,85.139123,4473.75,0
20120707 07:33:42,338072.03,29.293094,85.139106,4474.15,0
20120707 07:33:42,338554.91,29.295875,85.142972,4473.56,0
20120707 07:33:42,339006.53,29.298641,85.146371,4473.65,0
20121223 23:08:07,344164.5,29.312494,85.181446,5355.63,1
20101218 11:38:54,345702.24,29.313452,85.195945,5395.47,1
20120608 21:05:10,347306.55,29.318365,85.21155,4728.59,1
20130612 02:49:01,348197.38,29.318564,85.220816,5303.4,1
20120901 16:52:42,350887.25,29.315874,85.247147,4795.92,1
20120901 16:52:42,352787.9,29.317947,85.266458,4785.16,1
20120901 16:52:42,352947.96,29.312616,85.266711,4710.09,1
20110313 07:26:14,354537.63,29.312648,85.283498,4465.44,0
20120315 13:11:24,356006.19,29.317012,85.29911,4464.23,0
20101120 01:10:33,356338.71,29.296363,85.300629,4955.4,1
20110606 03:13:48,356541.69,29.311476,85.304126,4967.75,1
20110830 11:07:36,356889.61,29.309051,85.307042,4464.37,0
20121125 12:39:49,359053.64,29.305592,85.327916,4462.51,0
20130611 14:42:29,360443.1,29.298037,85.34212,4462.33,0
20121125 12:39:49,360992.18,29.294269,85.346181,4461.25,0
20130318 18:55:13,361186.44,29.289044,85.338294,4791.57,1
20121125 12:39:49,361594.62,29.289009,85.342135,4460.98,0
20130611 14:42:29,361900.75,29.287339,85.344695,4462.5,0
20121125 12:39:49,362314.87,29.280904,85.343116,4460.42,0
20130611 14:42:29,362770.4,29.276484,85.342518,4462.94,0
20121125 12:39:49,362877.73,29.275532,85.342731,4461.01,0
20130611 14:42:29,363148,29.273902,85.346305,4461.52,0
20121125 12:39:49,363296.22,29.272708,85.347077,4460.18,0
20130611 14:42:29,365942.18,29.266525,85.369663,4459.93,0
20111123 06:55:10,366259.17,29.266119,85.372213,4668.54,1
20131128 18:23:30,368195.33,29.260428,85.392022,4458.37,0
20130904 10:29:36,370698.47,29.263507,85.417485,5142.06,1
20130904 10:29:36,371185.22,29.268942,85.420969,5174.15,1
20131128 06:17:05,371185.22,29.274034,85.424608,4459.88,0
20110829 23:01:07,371425.98,29.270232,85.425689,4458.63,0
20121125 00:33:17,371488.83,29.268045,85.425111,4490.27,1
20110829 23:01:07,372596.01,29.262608,85.438386,4458.06,0
20110829 23:01:07,372811.45,29.259914,85.437597,4458.88,0
20121125 00:33:17,372816.43,29.263181,85.443752,4465.13,0
20131128 18:23:30,373250.34,29.251213,85.430032,4472.68,0
20101119 13:04:02,373936.71,29.256834,85.442812,5301.58,1
20101119 13:04:02,374228.07,29.25967,85.446846,5296.51,1
20120510 22:30:15,379049.48,29.250343,85.492656,4906.94,1
20130904 10:29:36,379299.77,29.249878,85.494718,4718.1,1
20110508 16:45:11,379377.47,29.242984,85.498005,4454.37,0
20121125 00:33:17,379508.94,29.243153,85.499357,4454.35,0
20121125 00:33:17,380052.13,29.245969,85.502801,4454.7,0
20121125 00:33:17,380094.37,29.251395,85.502776,4454.56,0
20130217 20:20:16,380985.28,29.248521,85.51221,5283.7,1
20101022 02:35:32,389216.32,29.244429,85.584945,5443.27,1
20101022 02:35:32,400364.09,29.180074,85.64651,5647.23,1
20110114 22:22:36,400886.97,29.179444,85.651843,5303.73,1
20120803 06:11:12,403288.92,29.174943,85.673999,5376.2,1
20130513 16:07:33,404191.3,29.171751,85.682702,5374.04,1
20110114 22:22:36,406079.88,29.18352,85.695004,5263.32,1
20120803 06:11:12,411386.26,29.187656,85.736766,5363.35,1
20110801 00:26:11,415245.45,29.192566,85.760421,5384.96,1
20111024 20:13:39,416881.59,29.200831,85.776313,4422,0
20110409 18:10:06,418198.24,29.200066,85.790362,4962.92,1
20111024 20:13:39,420490.97,29.217739,85.79683,4418.9,0
20110703 13:57:42,421375.54,29.213894,85.80479,4988.85,1
20130709 01:26:17,422635.82,29.212728,85.818426,4954.38,1
20110409 18:10:06,423440.65,29.214342,85.824894,4990.64,1
20130709 01:26:17,423448.31,29.215189,85.825236,4969.99,1
20120705 19:42:31,424204.75,29.214611,85.833096,5029.59,1
20130414 17:32:38,425931.1,29.209976,85.849355,4420.31,0
20130414 17:32:38,426209.32,29.207308,85.850216,4420.53,0
20110926 09:45:02,429201.52,29.194174,85.873235,5534.73,1
20120411 11:48:48,430967.09,29.185011,85.887871,5455.37,1
20130414 17:32:38,431909.97,29.18175,85.896817,4417.53,0
20130414 17:32:38,432599.47,29.17923,85.902612,4417.82,0
20130414 17:32:38,434037.91,29.17426,85.916365,4416.14,0
20120411 11:48:48,434224.6,29.175198,85.918373,5460.39,1
20111220 05:32:43,438181.45,29.171785,85.957998,5363.12,1
20130317 07:04:06,438717.45,29.173975,85.963518,5579.59,1
20120928 03:23:35,447122.39,29.167174,86.046493,5630.09,1
20121221 23:10:35,447476.09,29.167191,86.05013,5705.1,1
20120314 01:20:11,447940.18,29.169585,86.054694,5528.77,1
20120606 21:07:30,450018.07,29.170717,86.075732,5656.88,1
20120928 03:23:35,451497.56,29.173855,86.090425,5628.56,1
20110604 15:22:39,453809.34,29.168615,86.111427,5697.87,1
20101216 11:41:22,456462.25,29.169111,86.1379,5741.85,1
20130609 14:44:56,464598.66,29.192003,86.213521,5741.92,1
20130609 14:44:56,465946.87,29.203098,86.225085,5759.86,1
20110210 21:00:00,466102.86,29.203108,86.226691,6002.46,1
20110604 03:16:16,467283.3,29.200574,86.239004,5791.27,1
20120214 02:45:13,467812.85,29.199499,86.244524,6125.82,1
20121123 12:42:09,469495.94,29.192878,86.259336,5563.67,1
20100727 06:50:14,482296.51,29.213223,86.383371,5920.81,1
20120213 14:38:55,487283.82,29.207544,86.428057,5905.35,1
20100726 18:43:59,498110.82,29.211676,86.512789,5408,1
20120116 04:10:13,501492.51,29.236992,86.527511,5552.57,1
20120116 04:10:13,505715.64,29.209443,86.55083,5478.14,1
20120409 23:57:35,509135.91,29.197851,86.575943,5269.95,1
